date,BDI,SSEC,NASDAQ,NOSB,CRB,dot_com,911,China_WTO,Iraq_war,Indian_Ocean_Tsunami,Grobal_Financial_Crisis,China_Economic_policy_changes,Lehman_bro,Europe_Debt_Crisis,Japan_Earthqauke,Crude_oil_price_Collapse,China_economic_Slowdown,Covid_19,OECD_GDP_growth,month,spring,summer,fall,winter,TimeSeries
1999-11-07,1308,1474.702857,3054.612857,1491,151.9142857,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42567362,11,0,0,1,0,1
1999-11-14,1320.714286,1454.522857,3183.442857,1589,154.6414286,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42567362,11,0,0,1,0,2
1999-11-21,1350.142857,1461.375714,3323.231429,1687,156.33,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42567362,11,0,0,1,0,3
1999-11-28,1355.142857,1450.618571,3415.296429,1785,157.0907143,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42567362,11,0,0,1,0,4
1999-12-05,1345,1436.407143,3450.184286,1892.354839,155.7157143,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42567362,12,0,0,0,1,5
1999-12-12,1352.857143,1424.545714,3601.69,2033.387097,155.6028571,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42567362,12,0,0,0,1,6
1999-12-19,1348.571429,1423.701786,3693.832857,2177.225806,157.6971429,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42567362,12,0,0,0,1,7
1999-12-26,1323.467532,1372.8675,3931.284286,2321.064516,157.8557143,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42567362,12,0,0,0,1,8
2000-01-02,1319.545455,1366.452571,4042.227143,2462.769585,158.0014286,0,0,0,0,0,0,0,0,0,0,0,0,0,4.074943452,1,0,0,0,1,9
2000-01-09,1347.415584,1465.244571,3921.774286,2534.064516,155.2857143,0,0,0,0,0,0,0,0,0,0,0,0,0,4.074943452,1,0,0,0,1,10
2000-01-16,1396.714286,1448.34,4002.972143,2573.354839,160.2903571,0,0,0,0,0,0,0,0,0,0,0,0,0,4.074943452,1,0,0,0,1,11
2000-01-23,1392.857143,1453.578571,4164.666429,2612.645161,166.1489286,0,0,0,0,0,0,0,0,0,0,0,0,0,4.074943452,1,0,0,0,1,12
2000-01-30,1345.285714,1510.179832,4012.492857,2651.935484,165.5885714,0,0,0,0,0,0,0,0,0,0,0,0,0,4.074943452,1,0,0,0,1,13
2000-02-06,1292.571429,1584.037647,4155.331429,2548.188304,167.16,0,0,0,0,0,0,0,0,0,0,0,0,0,4.074943452,2,0,0,0,1,14
2000-02-13,1316.857143,1641.248235,4401.084286,2129.758621,168.64,0,0,0,0,0,0,0,0,0,0,0,0,0,4.074943452,2,0,0,0,1,15
2000-02-20,1427,1670.241429,4432.699286,1701.793103,169.2264286,0,0,0,0,0,0,0,0,0,0,0,0,0,4.074943452,2,0,0,0,1,16
